,Name,HC,Coin,InitialCap,Status,TGOnline,Countdown,profile_link,Audit,Doxx,KYC,Safu,discord,telegram,twitter,website,Category,start_time,end_time
0,Hashish Coin,Fairlaunch,BNB,$8.4K,Upcoming, / 534,00:22:14:23,https://www.pinksale.finance/launchpad/0x5D017fF993b9943506485Ab151de045d35AE2b7a?chain=BSC,False,False,True,False,,https://t.me/Hashishcoinofficial,https://twitter.com/HASHISHCOIN/status/1616449119803015168,https://hashishcoin.org/,Fair Launch,2023.01.26 10:00 (UTC),2023.01.28 16:00 (UTC)
1,MarvelDoge,Fairlaunch,ETH,$24.8K,Upcoming, / 3.9K,00:02:14:23,https://www.pinksale.finance/launchpad/0xeD96fc426036E41d2CB8560b10dE5a4E8E586B4b?chain=ETH,True,False,False,False,https://discord.gg/ctnDQVrh,https://t.me/marveldogetoken,https://twitter.com/marveldoge,https://www.marveldoge.com,Fair Launch,2023.01.25 14:00 (UTC),2023.01.28 13:59 (UTC)
2,Moo Token,30,ETH,$205.9K,Upcoming,89 / 540,08:02:14:23,https://www.pinksale.finance/launchpad/0x8D716703b68418170f1c85432eB13D0de6c05b55?chain=ETH,False,False,False,False,https://discord.gg/cashcows,https://t.me/cashcoweth,https://twitter.com/CashCowETH,https://cash-cow.net/,Whitelist,2023.02.02 14:00 (UTC),2023.02.02 16:00 (UTC)
3,Meta Bank,Fairlaunch,BNB,$8.7K,Upcoming,4 / 24,12:03:14:23,https://www.pinksale.finance/launchpad/0xB9B5Edb9e7DFCa60E3d578F3e5AB898EE6122D1F?chain=BSC,True,False,True,False,,https://t.me/MetaBankGroup,https://twitter.com/MetaBankTraders,https://meta-bank.net/,Fair Launch,2023.02.06 15:00 (UTC),2023.02.09 17:00 (UTC)
4,RoyalRabbit,Fairlaunch,ETH,$26.3K,2.6/2,59 / 444,00:00:00:00,https://www.pinksale.finance/launchpad/0xEfB7b063931398d3115abfd2fE3E6AB99aED9129?chain=ETH,False,False,False,False,,https://t.me/royalrabbiteth,https://twitter.com/royalrabbiteth,https://www.royalrabbit.space/,Fair Launch,2023.01.24 17:30 (UTC),2023.01.25 18:00 (UTC)
5,Candy P2E,Fairlaunch,BNB,$30.1K,Upcoming,444 / 11.5K,03:02:14:23,https://www.pinksale.finance/launchpad/0x7EE2B8E95C4adcaa663Be24Dc44eE2B76C09589e?chain=BSC,True,False,True,True,,https://t.me/candyp2e,https://twitter.com/CandyP2E,https://candyp2e.com/,Fair Launch,2023.01.28 14:00 (UTC),2023.01.29 14:00 (UTC)
6,Future AI,Fairlaunch,BNB,$32.5K,Upcoming,486 / 4.8K,00:02:14:23,https://www.pinksale.finance/launchpad/0x566437cfAE66B0D467DcEad30038abF490FED867?chain=BSC,True,False,True,False,https://discord.com/invite/5CJFwjMyS6,https://t.me/DecentralizedFutureAI,https://twitter.com/futureaitoken,https://futureai.app/,Fair Launch,2023.01.25 14:00 (UTC),2023.01.28 14:00 (UTC)
7,OdysseyWallet,Fairlaunch,BNB,$25K,Upcoming,531 / 1.8K,06:12:14:23,https://www.pinksale.finance/launchpad/0x3c22feAd52218CBb7f350dCaefbf972cBE09f6C1?chain=BSC,True,False,True,False,,https://t.me/OdysseyWallet,https://twitter.com/OdysseyWallet,https://odysseywallet.io/,Fair Launch,2023.02.01 00:00 (UTC),2023.02.02 23:59 (UTC)
8,Child Support,Fairlaunch,BNB,$75.3K,Upcoming,643 / 16.2K,05:23:14:23,https://www.pinksale.finance/launchpad/0xc7CFe2882C2a1e39271895A3151572960e4Fa279?chain=BSC,True,False,False,False,,https://t.me/ChildSupportGlobal,https://twitter.com/CHILDSUPPORTGL,https://Child.Support,Fair Launch,2023.01.31 11:00 (UTC),2023.02.07 11:00 (UTC)
9,Fileers,Fairlaunch,BNB,$97.9K,32.5/25,N/A,00:00:00:00,https://www.pinksale.finance/launchpad/0xE3eb63B12933101E5cA6415BE2D86a809a2769b7?chain=BSC,True,False,False,False,,https://fileers.t.me/,https://twitter.com/fileers,https://fileers.com/,Fair Launch,2023.01.23 14:45 (UTC),2023.01.27 14:45 (UTC)
10,Zodiac,200,BNB,$316.9K,0.4/200, / 13.3K,00:00:00:00,https://www.pinksale.finance/launchpad/0xF04C9a1F889186eA491FF9DdfBDC2ea12DAa91FB?chain=BSC,True,False,False,False,,https://t.me/zodiactoken,https://twitter.com/zodiaoins,https://zodiacoin.io,Public Presale,2023.01.24 03:00 (UTC),2023.01.26 23:00 (UTC)
11,CosmicMoon,60,BNB,$451.8K,Upcoming, / 76,00:05:44:23,https://www.pinksale.finance/launchpad/0xc627eba3FE96b574B64C776b9BFa3C36eeB8928a?chain=BSC,True,False,True,False,,https://t.me/cosmicmoonportal,https://twitter.com/cosmicmoonBSC,https://cosmicmoon.net/,Subscription,2023.01.25 17:30 (UTC),2023.01.26 20:00 (UTC)
12,Goge,550,BNB,$547.6K,Upcoming, / 77,02:04:14:23,https://www.pinksale.finance/launchpad/0x15833aD3eb940A29fd3f23EcDEA81BA877F396f7?chain=BSC,False,False,False,False,https://discord.gg/gogelabs,https://t.me/gogelabs,https://twitter.com/gogelabs,https://goge.io/,Whitelist,2023.01.27 16:00 (UTC),2023.01.29 16:00 (UTC)
13,Ada Classic,Fairlaunch,BNB,$128K,95.7/90,18 / 164,00:00:00:00,https://www.pinksale.finance/launchpad/0x4Bd55f7E95c4D6E46D6B56F2b2578D61b204B5fC?chain=BSC,False,False,False,False,,https://t.me/adaclassic,https://twitter.com/ADAClassic_News,https://adaclassic.io/,Fair Launch,2023.01.23 17:00 (UTC),2023.01.25 17:00 (UTC)
14,Flexvis,Fairlaunch,BNB,$21.1K,28.1/20,600 / 17.4K,00:00:00:00,https://www.pinksale.finance/launchpad/0x8Dd4c2AaCb733C27E71cAF08314ed1658D72DE29?chain=BSC,True,False,True,False,https://discord.gg/bVT5KXKmhb,https://t.me/flexvis,https://twitter.com/flexvis,https://flexvis.io/,Fair Launch,2023.01.23 18:00 (UTC),2023.01.30 18:00 (UTC)
15,Bitcoin Miner Token,200,BNB,$602.4K,Upcoming,5 / 126,00:16:48:23,https://www.pinksale.finance/launchpad/0x695Dd90C24662567B04D73cb6e06140e765151B5?chain=BSC,False,False,False,False,,https://t.me/bitcoinminertoken_com,https://twitter.com/btc_miner_token,https://www.bitcoinminertoken.com/,Public Presale,2023.01.26 04:34 (UTC),2023.01.28 04:35 (UTC)
16,Adamant Metanetwork,50,BNB,$2M,Upcoming,352 / 15.2K,00:08:14:23,https://www.pinksale.finance/launchpad/0xf46B65B121cc37EE8770dD019E75BEa7fF6cB40B?chain=BSC,False,False,False,False,https://discord.gg/adamant,https://telegram.me/admcadamant,https://twitter.com/adamantmeta,https://adamantmetanetwork.com,Whitelist,2023.01.25 20:00 (UTC),2023.01.29 23:59 (UTC)
17,LaunchVerse,600,BNB,$415.4K,Upcoming,55 / 3.5K,09:06:14:23,https://www.pinksale.finance/launchpad/0xD4788e24b051F110d537de529390B5b4378F56ed?chain=BSC,True,True,True,False,,https://t.me/LaunchVerseCommunity,https://twitter.com/LaunchVerse,https://launchverse.space/,Public Presale,2023.02.03 18:00 (UTC),2023.02.05 18:00 (UTC)
18,Xarpent,Fairlaunch,BNB,$19.9K,Upcoming,134 / 1.5K,00:06:14:23,https://www.pinksale.finance/launchpad/0xb5F7AE759509A663acef60B14529914fd47a5AC5?chain=BSC,True,False,True,False,,https://t.me/xarpent,https://twitter.com/xarpent,https://xarpent.finance/,Fair Launch,2023.01.25 18:00 (UTC),2023.01.26 18:00 (UTC)
